Name,Qty,Final Price - USD(BDT),Link
ESP-32-WROVER-E,1,US $4.13,https://www.aliexpress.com/item/1005008347478258.html?spm=a2g0o.cart.0.0.35b638daQUHsS4&mp=1
NASAYI 10pcs/lot DM3AT-SF-PEJM5,10,US $5.40,https://www.aliexpress.com/item/1005009250329013.html?spm=a2g0o.cart.0.0.35b638daQUHsS4&mp=1&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
CH340C sop-16 Chipset,5,US $1.44,https://www.aliexpress.com/item/1005004970840775.html?spm=a2g0o.cart.0.0.35b638daQUHsS4&mp=1
6092 bq25185 USB / DC / Solar Charger with 3.3V Buck Board,1,US $8.42,https://www.aliexpress.com/item/1005008651296534.html?spm=a2g0o.cart.0.0.35b638daQUHsS4&mp=1
100NF 0.1UF 50V C0805 Capacitor,100,US $0.39,https://www.aliexpress.com/item/1115774532.html?spm=a2g0o.cart.0.0.35b638daQUHsS4&mp=1
SSD1306,1,US $1.42,https://www.aliexpress.com/item/1005003780343300.html?spm=a2g0o.cart.0.0.35b638daQUHsS4&mp=1
PCM5102A DAC,1,US $1.45,https://www.aliexpress.com/item/1005006104368969.html?spm=a2g0o.cart.0.0.35b638daQUHsS4&mp=1
Insert M1.6 Brass Heat Threaded Insert Nut and Stainless Steel Screw,set,US $8.79,https://www.aliexpress.com/item/1005004837433548.html?spm=a2g0o.cart.0.0.35b638daQUHsS4&mp=1
MHP30 Mini Hot Plate,1,US $7.58,https://www.aliexpress.com/item/1005005887052045.html?spm=a2g0o.cart.0.0.72f938daHYVVmK&mp=1
Soldering Station Mat,1,549 BDT,https://www.daraz.com.bd/products/silicone-solder-mat-magnetic-heat-insulation-mobile-repairing-mat-with-tools-parts-organizer-electronics-repair-mat-for-soldering-iron-858a-878d-heat_gun-phone-and-computer-repair-repair-tools-mate-i191199032-s1162814870.html
18650 Lithium-ion,2,348 BDT,https://www.daraz.com.bd//products/i337388376-s1645620986.html?spm=a2o42.cart.0.0.5b8f282903B5mN&urlFlag=true&tradePath=%2CcartPriceDrop%2Ccart
PCB,5,US $26.33,https://hc-cdn.hel1.your-objectstorage.com/s/v3/5455ea8c31c934fb2887d1aa5c563d31bf35e860_image.png
Stencil,1,US $16.44,https://hc-cdn.hel1.your-objectstorage.com/s/v3/5455ea8c31c934fb2887d1aa5c563d31bf35e860_image.png
Soldering Paste,1,US $2.67,https://www.aliexpress.com/item/1005006866665560.html?spm=a2g0o.productlist.main.1.6cdaixN5ixN5lS&algo_pvid=d2d48ad6-fe2d-4fcb-97f4-56ea489d9285&pdp_ext_f=%7B%22order%22%3A%223526%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
Top Case,1,Printing Legion,
Bottom Case,1,Printing Legion,
Battery Cover,1,Printing Legion,
